date,LogTitle,message,exception,machinename,appdomain,assembly-version,basedir,callsite,counter,nlogdir,processid,processname,specialfolder,stacktrace,longdate,event-properties,uppercase,logger,url,action
2025/07/03 09:17:25.007,接口启动,接口启动成功,,PC-20220610JUCQ,0001:CoreCms.Net.Web.Admin, 1.0.0.0,D:\Code\Shop.ERP\CoreCms.Net.Web.Admin\bin\Debug\net8.0\,CoreCms.Net.Loging.NLogUtil.WriteFileLog,1,D:\Code\Shop.ERP\CoreCms.Net.Web.Admin\bin\Debug\net8.0,7152,CoreCms.Net.Web.Admin,C:\Users\Desktop,Program.Main => NLogUtil.WriteLogFile => NLogUtil.WriteFileLog,2025-07-03 09:17:25.0071,,TRACE,logfile,,
2025/07/03 09:25:54.257,接口启动,接口启动成功,,PC-20220610JUCQ,0001:CoreCms.Net.Web.Admin, 1.0.0.0,D:\Code\Shop.ERP\CoreCms.Net.Web.Admin\bin\Debug\net8.0\,CoreCms.Net.Loging.NLogUtil.WriteFileLog,1,D:\Code\Shop.ERP\CoreCms.Net.Web.Admin\bin\Debug\net8.0,17900,CoreCms.Net.Web.Admin,C:\Users\Desktop,Program.Main => NLogUtil.WriteLogFile => NLogUtil.WriteFileLog,2025-07-03 09:25:54.2578,,TRACE,logfile,,
2025/07/03 09:28:51.975,接口启动,接口启动成功,,PC-20220610JUCQ,0001:CoreCms.Net.Web.Admin, 1.0.0.0,D:\Code\Shop.ERP\CoreCms.Net.Web.Admin\bin\Debug\net8.0\,CoreCms.Net.Loging.NLogUtil.WriteFileLog,1,D:\Code\Shop.ERP\CoreCms.Net.Web.Admin\bin\Debug\net8.0,14332,CoreCms.Net.Web.Admin,C:\Users\Desktop,Program.Main => NLogUtil.WriteLogFile => NLogUtil.WriteFileLog,2025-07-03 09:28:51.9754,,TRACE,logfile,,
2025/07/03 09:30:05.116,接口启动,接口启动成功,,PC-20220610JUCQ,0001:CoreCms.Net.Web.Admin, 1.0.0.0,D:\Code\Shop.ERP\CoreCms.Net.Web.Admin\bin\Debug\net8.0\,CoreCms.Net.Loging.NLogUtil.WriteFileLog,1,D:\Code\Shop.ERP\CoreCms.Net.Web.Admin\bin\Debug\net8.0,24444,CoreCms.Net.Web.Admin,C:\Users\Desktop,Program.Main => NLogUtil.WriteLogFile => NLogUtil.WriteFileLog,2025-07-03 09:30:05.1166,,TRACE,logfile,,
2025/07/03 10:01:15.604,接口启动,接口启动成功,,PC-20220610JUCQ,0001:CoreCms.Net.Web.Admin, 1.0.0.0,D:\Code\Shop.ERP\CoreCms.Net.Web.Admin\bin\Debug\net8.0\,CoreCms.Net.Loging.NLogUtil.WriteFileLog,1,D:\Code\Shop.ERP\CoreCms.Net.Web.Admin\bin\Debug\net8.0,9680,CoreCms.Net.Web.Admin,C:\Users\Desktop,Program.Main => NLogUtil.WriteLogFile => NLogUtil.WriteFileLog,2025-07-03 10:01:15.6047,,TRACE,logfile,,
2025/07/03 10:09:33.599,接口启动,接口启动成功,,PC-20220610JUCQ,0001:CoreCms.Net.Web.Admin, 1.0.0.0,D:\Code\Shop.ERP\CoreCms.Net.Web.Admin\bin\Debug\net8.0\,CoreCms.Net.Loging.NLogUtil.WriteFileLog,1,D:\Code\Shop.ERP\CoreCms.Net.Web.Admin\bin\Debug\net8.0,9960,CoreCms.Net.Web.Admin,C:\Users\Desktop,Program.Main => NLogUtil.WriteLogFile => NLogUtil.WriteFileLog,2025-07-03 10:09:33.5992,,TRACE,logfile,,
2025/07/03 10:11:03.863,接口启动,接口启动成功,,PC-20220610JUCQ,0001:CoreCms.Net.Web.Admin, 1.0.0.0,D:\Code\Shop.ERP\CoreCms.Net.Web.Admin\bin\Debug\net8.0\,CoreCms.Net.Loging.NLogUtil.WriteFileLog,1,D:\Code\Shop.ERP\CoreCms.Net.Web.Admin\bin\Debug\net8.0,6852,CoreCms.Net.Web.Admin,C:\Users\Desktop,Program.Main => NLogUtil.WriteLogFile => NLogUtil.WriteFileLog,2025-07-03 10:11:03.8637,,TRACE,logfile,,
2025/07/03 10:12:12.767,接口启动,接口启动成功,,PC-20220610JUCQ,0001:CoreCms.Net.Web.Admin, 1.0.0.0,D:\Code\Shop.ERP\CoreCms.Net.Web.Admin\bin\Debug\net8.0\,CoreCms.Net.Loging.NLogUtil.WriteFileLog,1,D:\Code\Shop.ERP\CoreCms.Net.Web.Admin\bin\Debug\net8.0,26300,CoreCms.Net.Web.Admin,C:\Users\Desktop,Program.Main => NLogUtil.WriteLogFile => NLogUtil.WriteFileLog,2025-07-03 10:12:12.7671,,TRACE,logfile,,
2025/07/03 10:13:56.278,接口启动,接口启动成功,,PC-20220610JUCQ,0001:CoreCms.Net.Web.Admin, 1.0.0.0,D:\Code\Shop.ERP\CoreCms.Net.Web.Admin\bin\Debug\net8.0\,CoreCms.Net.Loging.NLogUtil.WriteFileLog,1,D:\Code\Shop.ERP\CoreCms.Net.Web.Admin\bin\Debug\net8.0,19464,CoreCms.Net.Web.Admin,C:\Users\Desktop,Program.Main => NLogUtil.WriteLogFile => NLogUtil.WriteFileLog,2025-07-03 10:13:56.2788,,TRACE,logfile,,
2025/07/03 10:14:45.442,接口启动,接口启动成功,,PC-20220610JUCQ,0001:CoreCms.Net.Web.Admin, 1.0.0.0,D:\Code\Shop.ERP\CoreCms.Net.Web.Admin\bin\Debug\net8.0\,CoreCms.Net.Loging.NLogUtil.WriteFileLog,1,D:\Code\Shop.ERP\CoreCms.Net.Web.Admin\bin\Debug\net8.0,14288,CoreCms.Net.Web.Admin,C:\Users\Desktop,Program.Main => NLogUtil.WriteLogFile => NLogUtil.WriteFileLog,2025-07-03 10:14:45.4423,,TRACE,logfile,,
2025/07/03 10:15:56.386,接口启动,接口启动成功,,PC-20220610JUCQ,0001:CoreCms.Net.Web.Admin, 1.0.0.0,D:\Code\Shop.ERP\CoreCms.Net.Web.Admin\bin\Debug\net8.0\,CoreCms.Net.Loging.NLogUtil.WriteFileLog,1,D:\Code\Shop.ERP\CoreCms.Net.Web.Admin\bin\Debug\net8.0,29572,CoreCms.Net.Web.Admin,C:\Users\Desktop,Program.Main => NLogUtil.WriteLogFile => NLogUtil.WriteFileLog,2025-07-03 10:15:56.3865,,TRACE,logfile,,
2025/07/03 10:16:38.426,接口启动,接口启动成功,,PC-20220610JUCQ,0001:CoreCms.Net.Web.Admin, 1.0.0.0,D:\Code\Shop.ERP\CoreCms.Net.Web.Admin\bin\Debug\net8.0\,CoreCms.Net.Loging.NLogUtil.WriteFileLog,1,D:\Code\Shop.ERP\CoreCms.Net.Web.Admin\bin\Debug\net8.0,20776,CoreCms.Net.Web.Admin,C:\Users\Desktop,Program.Main => NLogUtil.WriteLogFile => NLogUtil.WriteFileLog,2025-07-03 10:16:38.4266,,TRACE,logfile,,
2025/07/03 10:21:28.037,接口启动,接口启动成功,,PC-20220610JUCQ,0001:CoreCms.Net.Web.Admin, 1.0.0.0,D:\Code\Shop.ERP\CoreCms.Net.Web.Admin\bin\Debug\net8.0\,CoreCms.Net.Loging.NLogUtil.WriteFileLog,1,D:\Code\Shop.ERP\CoreCms.Net.Web.Admin\bin\Debug\net8.0,11992,CoreCms.Net.Web.Admin,C:\Users\Desktop,Program.Main => NLogUtil.WriteLogFile => NLogUtil.WriteFileLog,2025-07-03 10:21:28.0377,,TRACE,logfile,,
2025/07/03 10:24:39.612,接口启动,接口启动成功,,PC-20220610JUCQ,0001:CoreCms.Net.Web.Admin, 1.0.0.0,D:\Code\Shop.ERP\CoreCms.Net.Web.Admin\bin\Debug\net8.0\,CoreCms.Net.Loging.NLogUtil.WriteFileLog,1,D:\Code\Shop.ERP\CoreCms.Net.Web.Admin\bin\Debug\net8.0,23176,CoreCms.Net.Web.Admin,C:\Users\Desktop,Program.Main => NLogUtil.WriteLogFile => NLogUtil.WriteFileLog,2025-07-03 10:24:39.6127,,TRACE,logfile,,
2025/07/03 10:27:45.399,接口启动,接口启动成功,,PC-20220610JUCQ,0001:CoreCms.Net.Web.Admin, 1.0.0.0,D:\Code\Shop.ERP\CoreCms.Net.Web.Admin\bin\Debug\net8.0\,CoreCms.Net.Loging.NLogUtil.WriteFileLog,1,D:\Code\Shop.ERP\CoreCms.Net.Web.Admin\bin\Debug\net8.0,16900,CoreCms.Net.Web.Admin,C:\Users\Desktop,Program.Main => NLogUtil.WriteLogFile => NLogUtil.WriteFileLog,2025-07-03 10:27:45.3995,,TRACE,logfile,,
2025/07/03 10:53:46.549,接口启动,接口启动成功,,PC-20220610JUCQ,0001:CoreCms.Net.Web.Admin, 1.0.0.0,D:\Code\Shop.ERP\CoreCms.Net.Web.Admin\bin\Debug\net8.0\,CoreCms.Net.Loging.NLogUtil.WriteFileLog,1,D:\Code\Shop.ERP\CoreCms.Net.Web.Admin\bin\Debug\net8.0,6852,CoreCms.Net.Web.Admin,C:\Users\Desktop,Program.Main => NLogUtil.WriteLogFile => NLogUtil.WriteFileLog,2025-07-03 10:53:46.5499,,TRACE,logfile,,
